Wall time,Step,Value
1623799309,386,0.83455354
1623799330,387,0.834046423
1623799352,388,0.835687697
1623799546,397,0.77670306
1623799567,398,0.788072169
1623799610,400,0.826808155
1623799675,403,0.835973501
1623799826,410,0.799957573
1623799847,411,0.82684505
1623799933,415,0.841505945
1623799955,416,0.841164768
1623799976,417,0.843257844
1623800020,419,0.82335043
1623800063,421,0.849859834
1623800149,425,0.833142757
1623800343,434,0.864105761
1623800364,435,0.870763123
1623800386,436,0.853760183
1623800407,437,0.833668351
1623800450,439,0.848624289
1623800472,440,0.851335168
1623800537,443,0.853013337
1623800601,446,0.858407378
1623800752,453,0.834802508
1623800773,454,0.845212638
1623800795,455,0.846033275
1623800816,456,0.841727197
1623800859,458,0.849537134
1623800881,459,0.866383314
1623800902,460,0.849214375
1623800945,462,0.844060063
1623800967,463,0.836738825
1623800988,464,0.839689434
1623801031,466,0.855124831
1623801074,468,0.865820825
1623801096,469,0.852921128
1623801182,473,0.840546966
1623801333,480,0.869868696
1623801397,483,0.867462099
1623801419,484,0.863884509
1623801461,486,0.858610272
1623801505,488,0.86618042
1623801569,491,0.856775343
1623801820,502,0.908254325
1623801885,505,0.912339091
1623801926,506,0.914220095
1623801948,507,0.91584295
1623801991,509,0.919724882
1623802034,511,0.921043396
1623802056,512,0.918341756
1623802099,514,0.919217706
1623802207,519,0.919319153
1623802229,520,0.931472003
1623802358,526,0.935298562
1623802401,528,0.929406583
1623802423,529,0.937041283
1623802444,530,0.925635278
1623802466,531,0.927995801
1623802487,532,0.939595401
1623802509,533,0.929849148
1623802530,534,0.925026715
1623802552,535,0.939733684
1623802574,536,0.935695052
1623802595,537,0.926990747
1623802638,539,0.940286934
1623802703,542,0.938525796
1623802725,543,0.940849423
1623802746,544,0.935040414
1623802789,546,0.937050521
1623802875,550,0.935141802
1623802918,552,0.939595401
1623802961,554,0.936930597
1623803047,558,0.937714398
1623803069,559,0.94119978
1623803090,560,0.941872895
1623803133,562,0.939825892
1623803176,564,0.942490697
1623803219,566,0.941799164
1623803262,568,0.942426145
1623803284,569,0.942887187
1623803349,572,0.943394303
1623803392,574,0.943680167
1623803414,575,0.944187284
1623803436,576,0.944648325
1623803458,577,0.944805086
1623803479,578,0.944583774
1623803501,579,0.944528461
1623803544,581,0.944961846
1623803565,582,0.945201576
1623803674,587,0.950457335
1623803695,588,0.955565572
1623803739,590,0.970235705
1623803760,591,0.971120894
1623803782,592,0.971618772
1623803847,595,0.971637249
1623803890,597,0.968151808
1623803933,599,0.965062857
1623803976,601,0.962979019
1623804019,603,0.961890996
1623804062,605,0.965855837
1623804083,606,0.959724128
1623804105,607,0.970622957
1623804169,610,0.971259177
1623804255,614,0.963154197
1623804277,615,0.958626866
1623804320,617,0.966842473
1623804342,618,0.953361869
1623804385,620,0.969433486
1623804471,624,0.959014118
1623804578,629,0.970613718
1623804748,636,0.957382083
1623804770,637,0.973103285
1623804813,639,0.957252979
1623804834,640,0.973287702
1623804856,641,0.97171098
1623804877,642,0.958728313
1623804899,643,0.973665774
1623804920,644,0.972918868
1623804963,646,0.973370731
1623804985,647,0.97329694
1623805071,651,0.959364533
1623805092,652,0.970364749
1623805136,654,0.962988257
1623805179,656,0.976524174
1623805243,659,0.97139746
1623805286,661,0.963172674
1623805308,662,0.969876051
1623805329,663,0.974366546
1623805394,666,0.976570308
1623805416,667,0.955667019
1623805437,668,0.952817857
1623805459,669,0.967211306
1623805480,670,0.973951638
1623805523,672,0.962877572
1623805545,673,0.974919796
1623805566,674,0.969829977
1623805609,676,0.972771347
1623805631,677,0.97401613
1623805652,678,0.961651266
1623805674,679,0.971572697
1623805696,680,0.977086663
1623805717,681,0.963854969
1623805760,683,0.977243364
1623805782,684,0.970318675
1623805846,687,0.974495649
1623805932,691,0.963587582
1623805997,694,0.968363881
1623806019,695,0.95971489
1623806040,696,0.97536236
1623806083,698,0.960858285
1623806105,699,0.971932292
1623806126,700,0.978008687
1623806148,701,0.96376276
1623806191,703,0.978211582
1623806212,704,0.96892637
1623806234,705,0.959493577
1623806320,709,0.972965002
1623806406,713,0.979050636
1623806427,714,0.966492116
1623806470,716,0.975786507
1623806492,717,0.973260045
1623806514,718,0.959521234
1623806554,719,0.97178477
1623806576,720,0.976367414
1623806597,721,0.964094698
1623806662,724,0.965247273
1623806683,725,0.966012597
1623806813,731,0.962527215
1623806855,733,0.978100896
1623806877,734,0.964611053
1623806898,735,0.967349589
1623806920,736,0.97799027
1623806963,738,0.96121788
1623807027,741,0.961826444
1623807049,742,0.972384095
1623807133,745,0.969212174
1623807155,746,0.97926271
1623807176,747,0.967368066
1623807219,749,0.976395071
1623807262,751,0.961402297
1623807327,754,0.964362085
1623807348,755,0.969756186
1623807411,757,0.966962337
1623807475,760,0.973951638
1623807497,761,0.962407351
1623807518,762,0.971434355
1623807581,764,0.965800524
1623807602,765,0.967368066
1623807624,766,0.978082478
1623807667,768,0.962222934
1623807688,769,0.974145234
1623807710,770,0.978423655
1623807817,775,0.965062857
1623807904,779,0.971535802
1623807925,780,0.979751408
1623807968,782,0.969783843
1623808011,784,0.969359696
1623808054,786,0.97480911
1623808076,787,0.978119373
1623808097,788,0.96400249
1623808138,789,0.969129205
1623808160,790,0.980701149
1623808181,791,0.96861285
1623808224,793,0.976035476
1623808267,795,0.963974833
1623808310,797,0.980894744
1623808375,800,0.976229131
1623808418,802,0.96376276
1623808439,803,0.971111655
1623808461,804,0.9810884
1623808547,808,0.973499775
1623808590,810,0.972457886
1623808612,811,0.979566991
1623808655,813,0.970613718
1623808719,816,0.965357959
1623808762,818,0.976588726
1623808784,819,0.964841604
1623808805,820,0.96932286
1623808870,823,0.963181853
1623808934,826,0.964860022
1623808956,827,0.969350517
1623808999,829,0.96940583
1623809042,831,0.975786507
1623809085,833,0.964786291
1623809193,838,0.975906372
1623809236,840,0.964860022
1623809257,841,0.969940603
1623809279,842,0.980913222
1623809300,843,0.969378173
1623809365,846,0.976644039
1623809494,852,0.976118445
1623809537,854,0.964454293
1623809559,855,0.97178477
1623809581,856,0.981226742
1623809602,857,0.969055414
1623809624,858,0.965514719
1623809710,862,0.97107476
1623809753,864,0.967663109
1623809775,865,0.968354642
1623809840,868,0.964233041
1623809861,869,0.972642303
1623809883,870,0.981355786
1623809904,871,0.966390669
1623809926,872,0.969691634
1623809969,874,0.970724404
1623809990,875,0.964860022
1623810012,876,0.974993527
1623810033,877,0.979059875
1623810076,879,0.97186774
1623810141,882,0.969193757
1623810184,884,0.972679138
1623810206,885,0.964777052
1623810249,887,0.980811775
1623810270,888,0.966298461
1623810335,891,0.970779717
1623810400,894,0.979235053
1623810421,895,0.964767814
1623810572,902,0.964463532
1623810593,903,0.972457886
1623810615,904,0.981595516
1623810637,905,0.966243148
1623810658,906,0.970429301
1623810680,907,0.980277002
1623810701,908,0.970659852
1623810744,910,0.975353181
1623810766,911,0.979188979
